parmseq,zOutcome,idnum,parm,label,estimate,stderr,dof,t,p,min95,max95,uncp,corp,signif,myqvallargervolumes,selected,mlog10p
1, zflt3lg ,552,AD_PGS,,-0.02,0.00486111,39637,-3.5816296,3.40E-04,-0.03,-0.01,0.05,0.00003418,0,0.00384731,0,2.414842819
1, zclec6a ,309,AD_PGS,,-0.02,0.00495997,38298,-3.5764654,3.50E-04,-0.03,-0.01,0.05,0.00003418,0,0.00389426,0,2.409575056
1, zccl4 ,191,AD_PGS,,-0.02,0.00497139,39269,-3.5694536,3.60E-04,-0.03,-0.01,0.05,0.00003418,0,0.00396953,0,2.401260911
1, zadm ,31,AD_PGS,,-0.02,0.00476237,39534,-3.5525759,3.80E-04,-0.03,-0.01,0.05,0.00003418,0,0.00420115,0,2.376631812
1, zangpt2 ,61,AD_PGS,,-0.02,0.00489398,39534,-3.4796461,5.00E-04,-0.03,-0.01,0.05,0.00003418,0,0.00545477,0,2.263223557
1, zctsc ,378,AD_PGS,,-0.02,0.00493502,39132,-3.4792613,5.00E-04,-0.03,-0.01,0.05,0.00003418,0,0.00545477,0,2.263223557
1, zasah2 ,94,AD_PGS,,-0.02,0.0049093,38914,-3.4750729,5.10E-04,-0.03,-0.01,0.05,0.00003418,0,0.00549992,0,2.259643628
1, zwfikkn2 ,1452,AD_PGS,,0.02,0.00491455,39259,3.4730574,5.20E-04,0.01,0.03,0.05,0.00003418,0,0.00550087,0,2.259568618
1, zpts ,1132,AD_PGS,,-0.02,0.00503725,38127,-3.4575251,5.50E-04,-0.03,-0.01,0.05,0.00003418,0,0.00574465,0,2.240736426
1, zsparcl1 ,1277,AD_PGS,,0.02,0.00491347,39251,3.4564553,5.50E-04,0.01,0.03,0.05,0.00003418,0,0.00574465,0,2.240736426
1, zatf2 ,96,AD_PGS,,-0.02,0.00505231,38310,-3.454305,5.50E-04,-0.03,-0.01,0.05,0.00003418,0,0.00574465,0,2.240736426
1, zhgf ,645,AD_PGS,,-0.02,0.00484606,39637,-3.4536394,5.50E-04,-0.03,-0.01,0.05,0.00003418,0,0.00574465,0,2.240736426
1, zmertk ,895,AD_PGS,,0.02,0.00480242,39637,3.4367421,5.90E-04,0.01,0.03,0.05,0.00003418,0,0.00605788,0,2.217679334
1, zggh ,593,AD_PGS,,-0.02,0.00498139,38555,-3.4354818,5.90E-04,-0.03,-0.01,0.05,0.00003418,0,0.00605788,0,2.217679334
1, ztnfrsf1b ,1378,AD_PGS,,-0.02,0.00488815,39231,-3.4321647,6.00E-04,-0.03,-0.01,0.05,0.00003418,0,0.00608975,0,2.215400536
1, zcpxm1 ,348,AD_PGS,,-0.02,0.00497444,39336,-3.4301142,6.00E-04,-0.03,-0.01,0.05,0.00003418,0,0.00609361,0,2.215125345
1, zncam1 ,946,AD_PGS,,0.02,0.00483999,39384,3.4275332,6.10E-04,0.01,0.03,0.05,0.00003418,0,0.00610967,0,2.213982247
1, zlgmn ,831,AD_PGS,,-0.02,0.00496835,39385,-3.3924791,6.90E-04,-0.03,-0.01,0.05,0.00003418,0,0.00690012,0,2.161143356
1, zager ,33,AD_PGS,,0.02,0.00484554,39137,3.3791686,7.30E-04,0.01,0.03,0.05,0.00003418,0,0.00719404,0,2.143027152
1, zagrn ,36,AD_PGS,,-0.02,0.004911,39385,-3.3712875,7.50E-04,-0.03,-0.01,0.05,0.00003418,0,0.00735326,0,2.133520078
1, zcd163 ,205,AD_PGS,,-0.02,0.00492688,39384,-3.361816,7.80E-04,-0.03,-0.01,0.05,0.00003418,0,0.00755936,0,2.121514972
1, zifnlr1 ,682,AD_PGS,,-0.02,0.00497219,39136,-3.3548593,7.90E-04,-0.03,-0.01,0.05,0.00003418,0,0.00770069,0,2.113470359
1, zchl1 ,291,AD_PGS,,0.02,0.00495863,39322,3.344666,8.20E-04,0.01,0.03,0.05,0.00003418,0,0.00793665,0,2.100362771
1, zmme ,912,AD_PGS,,-0.02,0.00490605,39040,-3.3361596,8.50E-04,-0.03,-0.01,0.05,0.00003418,0,0.00808632,0,2.092249076
1, zncam2 ,947,AD_PGS,,0.02,0.00494939,39231,3.3358461,8.50E-04,0.01,0.03,0.05,0.00003418,0,0.00808632,0,2.092249076
1, zfbp1 ,518,AD_PGS,,-0.02,0.00497838,39218,-3.3292438,8.70E-04,-0.03,-0.01,0.05,0.00003418,0,0.008227,0,2.084758503
1, zplaur ,1064,AD_PGS,,-0.02,0.00488301,38950,-3.3108662,9.30E-04,-0.03,-0.01,0.05,0.00003418,0,0.00873038,0,2.058966853
1, zvsig4 ,1436,AD_PGS,,-0.02,0.00481792,39177,-3.2987183,9.70E-04,-0.03,-0.01,0.05,0.00003418,0,0.00905885,0,2.042926932
1, ztnfsf13 ,1387,AD_PGS,,-0.02,0.00484787,39385,-3.2890171,1.00E-03,-0.03,-0.01,0.05,0.00003418,0,0.00923369,0,2.03462471
1, zccn1 ,195,AD_PGS,,0.02,0.00495776,38976,3.2883953,1.00E-03,0.01,0.03,0.05,0.00003418,0,0.00923369,0,2.03462471
1, zf7 ,504,AD_PGS,,-0.02,0.00489053,39328,-3.2880189,1.00E-03,-0.03,-0.01,0.05,0.00003418,0,0.00923369,0,2.03462471
1, zslc39a5 ,1255,AD_PGS,,-0.02,0.00480979,39136,-3.2586817,1.10E-03,-0.03,-0.01,0.05,0.00003418,0,0.01017981,0,1.992260328
1, zcpvl ,347,AD_PGS,,-0.02,0.00495267,39473,-3.2412959,1.20E-03,-0.03,-0.01,0.05,0.00003418,0,0.01075451,0,1.968409372
1, zrbp5 ,1152,AD_PGS,,-0.02,0.00492124,39040,-3.2329919,1.20E-03,-0.03,-0.01,0.05,0.00003418,0,0.01100416,0,1.958443104
1, zcdh1 ,252,AD_PGS,,-0.02,0.00504624,37925,-3.2012997,1.40E-03,-0.03,-0.01,0.05,0.00003418,0,0.01221443,0,1.913126795
1, zssc4d ,1293,AD_PGS,,-0.02,0.00479131,39156,-3.1949223,1.40E-03,-0.02,-0.01,0.05,0.00003418,0,0.0124115,0,1.906175728
